특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_de_3d_Fz,beta,None,Logistic Regression,0.5733,0.5638,0.69,0.6329
F_de_3d_Fz,beta,None,Linear SVM,0.58,0.5667,0.7,0.6314
F_peak_3d_Fz,all,None,Logistic Regression,0.6467,0.6229,0.67,0.63
F_mean_3d_Fz,all,None,Linear SVM,0.6333,0.6114,0.67,0.6271
F_peak_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7667,0.7048,0.65,0.6214
F_median_3d19,gamma,None,Logistic Regression,0.75,0.7012,0.675,0.6214
F_median_3d_Fz,alpha,None,Linear SVM,0.5467,0.5352,0.64,0.62
F_mean_3d19,gamma,None,Logistic Regression,0.7417,0.6988,0.7,0.6196
F_de_3d_Fz,all,None,Logistic Regression,0.6333,0.5924,0.63,0.6186
F_peak_3d_Fz,beta,None,Logistic Regression,0.6133,0.5743,0.65,0.6186
F_de_3d_Fz,theta,None,XGBoost,0.62,0.5867,0.63,0.6186
F_peak_3d_Fz,all,None,Random Forest,0.7733,0.7219,0.61,0.6171
F_median_3d_Fz,alpha,None,Logistic Regression,0.5467,0.5381,0.63,0.6171
F_peak_3d_Fz,all,None,Ensemble (Majority Vote),0.7933,0.739,0.64,0.6157
F_peak_3d_Fz,all,norm3,Logistic Regression,0.6133,0.6171,0.63,0.6157
F_mean_3d_Fz,alpha,None,Linear SVM,0.5533,0.5505,0.61,0.6157
F_peak_3d_10rm,all,norm3,KNN,0.9933,0.9571,0.65,0.6157
F_peak_3d_Fz,beta,None,Linear SVM,0.6067,0.5724,0.65,0.6157
F_mean_3d_Fz,all,None,Logistic Regression,0.62,0.5819,0.67,0.6143
F_peak_3d_Fz,all,norm3,Linear SVM,0.62,0.6181,0.64,0.6143
F_mean_3d_Fz,alpha,None,Logistic Regression,0.5533,0.5486,0.61,0.6129
F_de_3d_Fz,all,None,Linear SVM,0.6067,0.5914,0.6,0.6114
F_peak_3d_Fz,all,None,Linear SVM,0.6467,0.6286,0.64,0.61
F_mean_3d19,gamma,None,Ensemble (Majority Vote),0.95,0.869,0.6875,0.6089
F_dasm_3d19,gamma,norm3,Logistic Regression,0.6583,0.625,0.6125,0.6071
F_de_3d_10rm,beta,None,Random Forest,0.8333,0.7933,0.66,0.6057
F_peak_3d_3area,all,None,Logistic Regression,0.7,0.6771,0.63,0.6043
F_de_3d19,gamma,None,Logistic Regression,0.75,0.6929,0.7125,0.6036
F_rasm_3d,all,norm3,Random Forest,0.9067,0.8648,0.66,0.6029
F_mean_3d_Fz,alpha,None,Ensemble (Majority Vote),0.6467,0.6105,0.65,0.6029
F_peak_3d_F8,gamma,None,Logistic Regression,0.5,0.5219,0.63,0.6029
F_mean_3d_Fz,all,norm3,Logistic Regression,0.6133,0.6105,0.64,0.6014
F_peak_3d_F8,gamma,None,Linear SVM,0.5067,0.5229,0.63,0.6014
F_median_3d19,gamma,None,Linear SVM,0.85,0.7631,0.65,0.6
F_mean_3d19,gamma,None,Random Forest,0.9167,0.8405,0.6875,0.6
F_mean_3d_Fz,all,None,Ensemble (Majority Vote),0.8467,0.7486,0.65,0.6
F_mean_3d19,all,None,Ensemble (Majority Vote),0.9917,0.975,0.6375,0.6
F_de_3d,beta,None,Random Forest,0.8133,0.7943,0.61,0.6
F_peak_3d_Fz,all,norm3,Random Forest,0.7733,0.7295,0.6,0.5986
F_peak_3d_3area,beta,norm3,Linear SVM,0.5933,0.5705,0.63,0.5986
F_de_3d_Fz,all,None,Ensemble (Majority Vote),0.78,0.7381,0.61,0.5986
F_peak_3d_3area,beta,None,Logistic Regression,0.64,0.6057,0.6,0.5986
F_peak_3d_Fz,all,None,XGBoost,0.82,0.739,0.62,0.5986
F_dasm_3d19,gamma,norm3,Linear SVM,0.6667,0.6333,0.5875,0.5982
F_de_3d,beta,None,Logistic Regression,0.7067,0.6667,0.6,0.5971
F_mean_3d_Fz,all,norm3,Linear SVM,0.6067,0.6067,0.63,0.5971
F_de_3d_F3,delta,None,Linear SVM,0.56,0.5343,0.61,0.5971
F_de_3d_F3,delta,None,Logistic Regression,0.5667,0.5343,0.61,0.5971
F_mean_3d19,gamma,None,Linear SVM,0.7917,0.7381,0.625,0.5964
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.6933,0.6181,0.62,0.5957
F_de_3d19,all,None,Random Forest,0.9333,0.9048,0.625,0.5946
F_mean_3d19,all,None,Linear SVM,0.9917,0.9738,0.6125,0.5946
F_peak_3d_1area,all,None,Logistic Regression,0.5933,0.5905,0.6,0.5943
F_peak_3d_Fz,all,norm3,XGBoost,0.8267,0.7248,0.61,0.5943
F_de_3d_Fz,beta,None,Ensemble (Majority Vote),0.68,0.6352,0.67,0.5943
F_median_3d_F3,delta,None,Random Forest,0.6533,0.6067,0.58,0.5943
F_peak_3d_Fz,theta,None,Linear SVM,0.54,0.5486,0.61,0.5929
F_de_3d_10rm,beta,None,XGBoost,0.9,0.8448,0.62,0.5929
F_peak_3d_T7,all,norm3,Linear SVM,0.5867,0.601,0.62,0.5929
F_de_3d,beta,norm3,XGBoost,0.9467,0.8695,0.65,0.5929
F_mean_3d_Fz,beta,None,Linear SVM,0.52,0.5324,0.61,0.5929
F_de_3d19,gamma,None,Ensemble (Majority Vote),0.9667,0.8619,0.6875,0.5929
F_mean_3d19,gamma,norm3,Logistic Regression,0.8083,0.7476,0.6125,0.5929
F_de_3d_10rm,beta,None,Ensemble (Majority Vote),0.8467,0.8057,0.61,0.5914
F_peak_3d_Fz,theta,None,Ensemble (Majority Vote),0.64,0.6143,0.59,0.5914
F_de_3d19,gamma,None,Linear SVM,0.8083,0.7583,0.65,0.5911
F_mean_3d_Fz,alpha,None,Random Forest,0.7133,0.6238,0.65,0.59
F_peak_3d_Fz,beta,None,Ensemble (Majority Vote),0.66,0.6314,0.62,0.59
F_mean_3d_Fz,alpha,None,XGBoost,0.64,0.5952,0.61,0.59
F_de_3d,beta,None,Ensemble (Majority Vote),0.8667,0.8181,0.63,0.59
F_de_3d_10rm,all,None,KNN,0.9867,0.9448,0.63,0.59
F_mean_3d_F8,all,None,Logistic Regression,0.6467,0.6143,0.62,0.59
F_peak_3d_3area,beta,norm3,Logistic Regression,0.5933,0.5667,0.62,0.59
F_median_3d19,gamma,norm3,Linear SVM,0.8917,0.7821,0.5875,0.5893
F_de_3d_8rm,beta,None,Ensemble (Majority Vote),0.82,0.7838,0.6,0.5886
F_peak_3d_Fz,theta,None,Logistic Regression,0.54,0.5467,0.6,0.5886
F_de_3d_8rm,beta,None,Random Forest,0.8133,0.7752,0.59,0.5886
F_median_3d19,gamma,norm3,Logistic Regression,0.85,0.7643,0.5875,0.5875
F_mean_3d19,all,None,Random Forest,0.9417,0.9095,0.6375,0.5875
F_de_3d,delta,None,XGBoost,0.9267,0.8286,0.67,0.5871
F_mean_3d_Fz,beta,None,Logistic Regression,0.52,0.5295,0.61,0.5871
F_de_3d_T7,all,None,Logistic Regression,0.6333,0.6171,0.62,0.5871
F_mean_3d_F8,theta,None,Logistic Regression,0.5333,0.5448,0.61,0.5871
F_peak_3d_T7,all,norm3,Logistic Regression,0.6133,0.5952,0.62,0.5871
F_peak_3d_T7,delta,None,Linear SVM,0.56,0.5667,0.62,0.5871
F_peak_3d_10rm,all,None,KNN,0.9933,0.9629,0.6,0.5871
F_dasm_3d19,gamma,norm3,Ensemble (Majority Vote),0.8333,0.7607,0.55,0.5857
F_peak_3d_T7,delta,None,Logistic Regression,0.56,0.5667,0.61,0.5857
F_de_3d_Fz,theta,None,Random Forest,0.6667,0.6057,0.61,0.5857
F_peak_3d_Fz,theta,None,XGBoost,0.6267,0.6,0.59,0.5843
F_mean_3d_Fz,theta,None,KNN,0.8933,0.7238,0.66,0.5843
F_de_3d,delta,None,Ensemble (Majority Vote),0.8667,0.819,0.63,0.5843
F_de_3d_F8,theta,None,Linear SVM,0.58,0.5533,0.61,0.5829
F_mean_3d_F8,theta,None,Linear SVM,0.5267,0.5448,0.61,0.5829
F_mean_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7933,0.7095,0.62,0.5829
F_peak_3d,all,norm3,KNN,1.0,0.9533,0.66,0.5829
F_de_3d_Fz,alpha,None,Logistic Regression,0.56,0.54,0.6,0.5829
F_peak_3d_Fz,all,norm3,KNN,0.92,0.7762,0.64,0.5829
F_peak_3d_3area,all,None,Linear SVM,0.7533,0.7229,0.62,0.5829
F_peak_3d_3area,theta,None,Logistic Regression,0.5667,0.5714,0.63,0.5814
F_peak_3d_8rm,all,norm3,KNN,0.9867,0.9324,0.62,0.5814
F_de_3d_Fz,alpha,None,Linear SVM,0.56,0.54,0.6,0.5814
F_de_3d_F8,theta,None,Logistic Regression,0.58,0.5543,0.61,0.5814
F_peak_3d_Fz,all,None,KNN,0.9533,0.8181,0.65,0.5814
F_de_3d,delta,None,Random Forest,0.8333,0.7762,0.64,0.5814
F_peak_3d_2area,all,None,Logistic Regression,0.66,0.6343,0.6,0.58
F_de_3d_F3,delta,None,Ensemble (Majority Vote),0.6867,0.62,0.59,0.58
F_peak_3d,delta,None,KNN,0.9533,0.8552,0.63,0.58
F_de_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7533,0.7038,0.62,0.58
F_peak_3d_8rm,all,None,Logistic Regression,0.86,0.8133,0.62,0.58
F_peak_3d_Fz,theta,None,Random Forest,0.6667,0.6257,0.58,0.58
F_peak_3d_3area,all,None,Ensemble (Majority Vote),0.8733,0.8305,0.6,0.58
F_peak_3d_3area,beta,None,Linear SVM,0.6067,0.5933,0.61,0.5786
F_mean_3d19,gamma,norm3,Ensemble (Majority Vote),0.9417,0.8798,0.6125,0.5786
F_de_3d_Fz,all,norm3,Random Forest,0.78,0.7171,0.64,0.5786
F_peak_3d_3area,beta,None,Ensemble (Majority Vote),0.7667,0.6876,0.6,0.5786
F_de_3d19,beta,None,Linear SVM,0.8,0.7262,0.625,0.5786
F_de_3d19,gamma,norm3,Linear SVM,0.825,0.756,0.65,0.5786
F_peak_3d_Fz,beta,None,XGBoost,0.6267,0.6086,0.6,0.5786
F_de_3d_Fz,all,norm3,XGBoost,0.76,0.7162,0.67,0.5786
F_mean_3d19,all,None,Logistic Regression,0.95,0.8869,0.625,0.5786
F_dasm_3d,beta,None,XGBoost,0.8467,0.74,0.56,0.5786
F_median_3d_F8,theta,None,Logistic Regression,0.58,0.5533,0.62,0.5771
F_peak_3d_3area,beta,None,Random Forest,0.7467,0.6981,0.62,0.5771
F_dasm_3d,delta,norm3,Linear SVM,0.5333,0.5619,0.62,0.5771
F_peak_3d_T7,all,None,Linear SVM,0.6467,0.6352,0.61,0.5771
F_de_3d_10rm,all,norm3,KNN,1.0,0.9324,0.56,0.5771
F_rasm_3d_10rm,all,norm3,Ensemble (Majority Vote),0.92,0.7876,0.56,0.5771
F_de_3d,beta,None,XGBoost,0.9267,0.8733,0.61,0.5771
F_mean_3d_F3,all,None,Linear SVM,0.6133,0.6238,0.63,0.5771
F_de_3d_F4,gamma,None,XGBoost,0.6533,0.6152,0.57,0.5771
F_mean_3d19,beta,None,XGBoost,0.9667,0.8988,0.6375,0.5768
F_median_3d_F3,delta,None,XGBoost,0.6133,0.5781,0.55,0.5757
F_dasm_3d,delta,norm3,Ensemble (Majority Vote),0.78,0.7152,0.61,0.5757
F_rasm_3d,all,norm3,KNN,0.8067,0.7048,0.65,0.5757
F_de_3d_Fz,beta,None,XGBoost,0.6733,0.6219,0.67,0.5757
F_de_3d_F4,beta,None,Logistic Regression,0.62,0.5829,0.6,0.5757
F_median_3d_F8,theta,None,Linear SVM,0.5733,0.5514,0.61,0.5757
F_median_3d_2area,alpha,None,Linear SVM,0.5267,0.5581,0.59,0.5757
F_mean_3d19,gamma,norm3,Linear SVM,0.8167,0.7619,0.625,0.575
F_de_3d_Fz,all,norm3,Linear SVM,0.62,0.6086,0.6,0.5743
F_peak_3d_C4,theta,None,Linear SVM,0.56,0.5457,0.57,0.5743
F_de_3d_8rm,beta,None,Logistic Regression,0.6533,0.6305,0.55,0.5743
F_peak_3d_10rm,beta,None,Random Forest,0.8533,0.7848,0.6,0.5743
F_de_3d_F8,gamma,None,Linear SVM,0.5,0.5133,0.56,0.5743
F_median_3d_1area,alpha,None,Ensemble (Majority Vote),0.6733,0.6305,0.56,0.5743
F_dasm_3d,delta,norm3,XGBoost,0.8333,0.7305,0.63,0.5743
F_peak_3d_3area,beta,None,XGBoost,0.76,0.6838,0.55,0.5743
F_de_3d,all,None,KNN,0.9933,0.9438,0.58,0.5743
F_peak_3d_1area,beta,None,Logistic Regression,0.58,0.5724,0.57,0.5743
F_peak_3d_8rm,all,None,Linear SVM,0.94,0.8676,0.58,0.5743
F_mean_3d,beta,None,Random Forest,0.86,0.8067,0.58,0.5743
F_median_3d_Fz,all,None,Linear SVM,0.6067,0.5924,0.58,0.5743
F_peak_3d_1area,beta,None,Linear SVM,0.58,0.5705,0.57,0.5743
F_de_3d_10rm,delta,None,XGBoost,0.88,0.8105,0.59,0.5743
F_median_3d19,gamma,None,Ensemble (Majority Vote),0.975,0.881,0.575,0.5732
F_dasm_3d19,gamma,norm3,XGBoost,0.9083,0.8143,0.6375,0.5732
F_de_3d19,beta,None,Logistic Regression,0.725,0.6917,0.5625,0.5732
F_de_3d19,gamma,norm3,Logistic Regression,0.825,0.7417,0.65,0.5732
F_de_3d19,gamma,norm3,Ensemble (Majority Vote),0.95,0.8762,0.675,0.5732
F_median_3d_2area,alpha,None,Logistic Regression,0.52,0.5571,0.58,0.5729
F_median_3d_Fz,alpha,None,Ensemble (Majority Vote),0.7333,0.6248,0.57,0.5729
F_de_3d_F8,gamma,None,Logistic Regression,0.5,0.5133,0.56,0.5729
F_median_3d_Fz,all,None,Logistic Regression,0.6467,0.599,0.6,0.5729
F_de_3d_F4,beta,None,Linear SVM,0.6067,0.5829,0.6,0.5729
F_peak_3d_F3,beta,None,KNN,0.8333,0.6876,0.63,0.5729
F_mean_3d_Fz,theta,None,Random Forest,0.66,0.6162,0.61,0.5729
F_mean_3d_Fz,beta,None,Ensemble (Majority Vote),0.6933,0.6381,0.62,0.5729
F_peak_3d_T7,all,norm3,Ensemble (Majority Vote),0.7267,0.6971,0.62,0.5729
F_de_3d_Fz,all,norm3,Logistic Regression,0.6333,0.619,0.59,0.5729
F_de_3d_F3,theta,None,Logistic Regression,0.5267,0.5343,0.54,0.5729
F_median_3d_F3,all,None,Logistic Regression,0.62,0.5981,0.56,0.5729
F_mean_3d_8rm,theta,norm3,Linear SVM,0.6667,0.6371,0.56,0.5714
F_de_3d_T7,delta,None,Linear SVM,0.5667,0.5571,0.57,0.5714
F_de_3d_T7,delta,None,Logistic Regression,0.5667,0.5562,0.57,0.5714
F_de_3d_3area,all,None,Logistic Regression,0.6867,0.6695,0.6,0.5714
F_rasm_3d_10rm,all,norm3,Random Forest,0.8867,0.8248,0.6,0.5714
F_de_3d19,gamma,None,Random Forest,0.95,0.8464,0.6,0.5714
F_de_3d19,beta,None,Random Forest,0.8583,0.8107,0.5875,0.5714
F_mean_3d_Fp1,delta,None,Random Forest,0.6867,0.6419,0.59,0.5714
F_peak_3d_3area,alpha,None,Linear SVM,0.58,0.5771,0.53,0.5714
F_de_3d_Fz,all,None,Random Forest,0.8133,0.7276,0.6,0.5714
F_de_3d_Fz,theta,None,Ensemble (Majority Vote),0.6933,0.6257,0.56,0.5714
F_de_3d19,beta,None,Ensemble (Majority Vote),0.9083,0.8405,0.5875,0.5714
F_de_3d_10rm,beta,None,Logistic Regression,0.6733,0.6457,0.54,0.5714
F_peak_3d_T7,all,None,Logistic Regression,0.6267,0.6276,0.57,0.57
F_dasm_3d,beta,None,Ensemble (Majority Vote),0.84,0.7438,0.58,0.57
F_de_3d_F4,gamma,None,Random Forest,0.6467,0.6305,0.56,0.57
F_dasm_3d_10rm,delta,norm3,Ensemble (Majority Vote),0.7333,0.6924,0.58,0.57
F_de_3d_F3,theta,None,Linear SVM,0.5267,0.5314,0.54,0.57
F_mean_3d_C3,theta,None,KNN,0.8333,0.7086,0.67,0.57
F_de_3d_F8,all,None,Logistic Regression,0.66,0.6343,0.6,0.57
F_de_3d_F3,all,None,Linear SVM,0.6333,0.6276,0.58,0.57
F_mean_3d_8rm,delta,None,KNN,0.96,0.8314,0.56,0.57
F_peak_3d_C4,theta,None,Logistic Regression,0.5533,0.5429,0.56,0.57
F_dasm_3d,delta,norm3,Logistic Regression,0.54,0.5581,0.6,0.57
F_de_3d19,gamma,norm3,Random Forest,0.95,0.856,0.6,0.5696
F_mean_3d,beta,None,Ensemble (Majority Vote),0.8933,0.8276,0.59,0.5686
F_de_3d_F4,gamma,None,Ensemble (Majority Vote),0.6733,0.6219,0.56,0.5686
F_dasm_3d,beta,None,Linear SVM,0.6267,0.6048,0.58,0.5686
F_de_3d_10rm,delta,None,KNN,0.9533,0.8581,0.62,0.5686
