특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5333333333333333,0.5114942528735632,0.45,0.4714285714285714,"[[224, 211], [214, 221]]","[[56, 14], [60, 10]]"
F_mean_3d_Fz,delta,None,KNN,1.0,0.7022988505747126,0.6,0.5357142857142857,"[[314, 121], [138, 297]]","[[35, 35], [30, 40]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.5333333333333333,0.5126436781609195,0.45,0.4714285714285714,"[[224, 211], [213, 222]]","[[56, 14], [60, 10]]"
F_mean_3d_Fz,delta,None,Random Forest,0.5333333333333333,0.5528735632183908,0.5,0.4857142857142857,"[[361, 74], [315, 120]]","[[65, 5], [67, 3]]"
F_mean_3d_Fz,delta,None,XGBoost,0.5333333333333333,0.5413793103448276,0.5,0.5,"[[391, 44], [355, 80]]","[[69, 1], [69, 1]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.5666666666666667,0.6057471264367816,0.5,0.4857142857142857,"[[330, 105], [238, 197]]","[[60, 10], [62, 8]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,0.9666666666666667,0.6862068965517242,0.6,0.4785714285714286,"[[288, 147], [126, 309]]","[[37, 33], [40, 30]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.43333333333333335,0.5057471264367817,0.55,0.5357142857142857,"[[195, 240], [190, 245]]","[[33, 37], [28, 42]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.8666666666666667,0.593103448275862,0.65,0.5642857142857143,"[[260, 175], [179, 256]]","[[43, 27], [34, 36]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.5,0.5540229885057472,0.55,0.5785714285714286,"[[339, 96], [292, 143]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.5333333333333333,0.5701149425287356,0.55,0.5857142857142857,"[[347, 88], [286, 149]]","[[58, 12], [46, 24]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,0.9666666666666667,0.6862068965517242,0.6,0.4785714285714286,"[[288, 147], [126, 309]]","[[37, 33], [40, 30]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.43333333333333335,0.5057471264367817,0.55,0.5357142857142857,"[[195, 240], [190, 245]]","[[33, 37], [28, 42]]"
F_mean_3d_Fz,delta,norm3,Random Forest,0.8666666666666667,0.593103448275862,0.65,0.5642857142857143,"[[260, 175], [179, 256]]","[[43, 27], [34, 36]]"
F_mean_3d_Fz,delta,norm3,XGBoost,0.5,0.5540229885057472,0.55,0.5785714285714286,"[[339, 96], [292, 143]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,delta,norm3,Ensemble (Majority Vote),0.5333333333333333,0.5701149425287356,0.55,0.5857142857142857,"[[347, 88], [286, 149]]","[[58, 12], [46, 24]]"
F_mean_3d_Fz,theta,None,Logistic Regression,0.43333333333333335,0.5206896551724138,0.5,0.45714285714285713,"[[239, 196], [221, 214]]","[[12, 58], [18, 52]]"
F_mean_3d_Fz,theta,None,KNN,0.9666666666666667,0.7068965517241379,0.5,0.4785714285714286,"[[301, 134], [121, 314]]","[[35, 35], [38, 32]]"
F_mean_3d_Fz,theta,None,Linear SVM,0.4666666666666667,0.5218390804597701,0.5,0.45,"[[241, 194], [222, 213]]","[[12, 58], [19, 51]]"
F_mean_3d_Fz,theta,None,Random Forest,0.7,0.5839080459770115,0.5,0.40714285714285714,"[[244, 191], [171, 264]]","[[21, 49], [34, 36]]"
F_mean_3d_Fz,theta,None,XGBoost,0.7,0.5494252873563218,0.4,0.44285714285714284,"[[227, 208], [184, 251]]","[[27, 43], [35, 35]]"
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.7666666666666667,0.5908045977011495,0.45,0.42857142857142855,"[[253, 182], [174, 261]]","[[13, 57], [23, 47]]"
F_mean_3d_Fz,theta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm2,KNN,1.0,0.6885057471264368,0.6,0.55,"[[299, 136], [135, 300]]","[[38, 32], [31, 39]]"
F_mean_3d_Fz,theta,norm2,Linear SVM,0.5,0.503448275862069,0.5,0.5,"[[4, 431], [1, 434]]","[[0, 70], [0, 70]]"
F_mean_3d_Fz,theta,norm2,Random Forest,0.8,0.5735632183908046,0.45,0.4857142857142857,"[[252, 183], [188, 247]]","[[32, 38], [34, 36]]"
F_mean_3d_Fz,theta,norm2,XGBoost,0.6666666666666666,0.539080459770115,0.35,0.4857142857142857,"[[267, 168], [233, 202]]","[[34, 36], [36, 34]]"
F_mean_3d_Fz,theta,norm2,Ensemble (Majority Vote),0.9666666666666667,0.635632183908046,0.6,0.5285714285714286,"[[296, 139], [178, 257]]","[[39, 31], [35, 35]]"
F_mean_3d_Fz,theta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm3,KNN,1.0,0.6885057471264368,0.6,0.55,"[[299, 136], [135, 300]]","[[38, 32], [31, 39]]"
F_mean_3d_Fz,theta,norm3,Linear SVM,0.5,0.503448275862069,0.5,0.5,"[[4, 431], [1, 434]]","[[0, 70], [0, 70]]"
F_mean_3d_Fz,theta,norm3,Random Forest,0.8,0.5735632183908046,0.45,0.4857142857142857,"[[252, 183], [188, 247]]","[[32, 38], [34, 36]]"
F_mean_3d_Fz,theta,norm3,XGBoost,0.6666666666666666,0.539080459770115,0.35,0.4857142857142857,"[[267, 168], [233, 202]]","[[34, 36], [36, 34]]"
F_mean_3d_Fz,theta,norm3,Ensemble (Majority Vote),0.9666666666666667,0.635632183908046,0.6,0.5285714285714286,"[[296, 139], [178, 257]]","[[39, 31], [35, 35]]"
F_mean_3d_Fz,alpha,None,Logistic Regression,0.6,0.5367816091954023,0.4,0.44285714285714284,"[[247, 188], [215, 220]]","[[15, 55], [23, 47]]"
F_mean_3d_Fz,alpha,None,KNN,0.9666666666666667,0.6781609195402298,0.5,0.5214285714285715,"[[300, 135], [145, 290]]","[[27, 43], [24, 46]]"
F_mean_3d_Fz,alpha,None,Linear SVM,0.6,0.5333333333333333,0.45,0.44285714285714284,"[[248, 187], [219, 216]]","[[16, 54], [24, 46]]"
F_mean_3d_Fz,alpha,None,Random Forest,0.6666666666666666,0.5724137931034483,0.45,0.4642857142857143,"[[269, 166], [206, 229]]","[[22, 48], [27, 43]]"
F_mean_3d_Fz,alpha,None,XGBoost,0.6,0.5643678160919541,0.4,0.4714285714285714,"[[267, 168], [211, 224]]","[[25, 45], [29, 41]]"
F_mean_3d_Fz,alpha,None,Ensemble (Majority Vote),0.7,0.5666666666666667,0.45,0.4642857142857143,"[[264, 171], [206, 229]]","[[20, 50], [25, 45]]"
F_mean_3d_Fz,alpha,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,alpha,norm2,KNN,1.0,0.6758620689655173,0.55,0.4714285714285714,"[[282, 153], [129, 306]]","[[32, 38], [36, 34]]"
F_mean_3d_Fz,alpha,norm2,Linear SVM,0.5,0.5022988505747127,0.45,0.4857142857142857,"[[308, 127], [306, 129]]","[[45, 25], [47, 23]]"
F_mean_3d_Fz,alpha,norm2,Random Forest,0.8,0.6091954022988506,0.6,0.5214285714285715,"[[281, 154], [186, 249]]","[[37, 33], [34, 36]]"
F_mean_3d_Fz,alpha,norm2,XGBoost,0.5,0.5471264367816092,0.5,0.5785714285714286,"[[366, 69], [325, 110]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,alpha,norm2,Ensemble (Majority Vote),0.5,0.5459770114942529,0.5,0.55,"[[369, 66], [329, 106]]","[[58, 12], [51, 19]]"
F_mean_3d_Fz,alpha,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,alpha,norm3,KNN,1.0,0.6758620689655173,0.55,0.4714285714285714,"[[282, 153], [129, 306]]","[[32, 38], [36, 34]]"
F_mean_3d_Fz,alpha,norm3,Linear SVM,0.5,0.5022988505747127,0.45,0.4857142857142857,"[[308, 127], [306, 129]]","[[45, 25], [47, 23]]"
F_mean_3d_Fz,alpha,norm3,Random Forest,0.8,0.6091954022988506,0.6,0.5214285714285715,"[[281, 154], [186, 249]]","[[37, 33], [34, 36]]"
F_mean_3d_Fz,alpha,norm3,XGBoost,0.5,0.5471264367816092,0.5,0.5785714285714286,"[[366, 69], [325, 110]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,alpha,norm3,Ensemble (Majority Vote),0.5,0.5459770114942529,0.5,0.55,"[[369, 66], [329, 106]]","[[58, 12], [51, 19]]"
F_mean_3d_Fz,beta,None,Logistic Regression,0.5333333333333333,0.5137931034482759,0.45,0.4785714285714286,"[[247, 188], [235, 200]]","[[8, 62], [11, 59]]"
F_mean_3d_Fz,beta,None,KNN,0.9666666666666667,0.6816091954022988,0.45,0.4785714285714286,"[[295, 140], [137, 298]]","[[37, 33], [40, 30]]"
F_mean_3d_Fz,beta,None,Linear SVM,0.5333333333333333,0.5057471264367817,0.45,0.4642857142857143,"[[250, 185], [245, 190]]","[[8, 62], [13, 57]]"
F_mean_3d_Fz,beta,None,Random Forest,0.6333333333333333,0.6057471264367816,0.5,0.5142857142857142,"[[314, 121], [222, 213]]","[[36, 34], [34, 36]]"
F_mean_3d_Fz,beta,None,XGBoost,0.6333333333333333,0.5643678160919541,0.4,0.5071428571428571,"[[162, 273], [106, 329]]","[[18, 52], [17, 53]]"
F_mean_3d_Fz,beta,None,Ensemble (Majority Vote),0.7,0.5896551724137931,0.45,0.4928571428571429,"[[291, 144], [213, 222]]","[[20, 50], [21, 49]]"
F_mean_3d_Fz,beta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,beta,norm2,KNN,0.9666666666666667,0.6988505747126437,0.5,0.4785714285714286,"[[296, 139], [123, 312]]","[[30, 40], [33, 37]]"
F_mean_3d_Fz,beta,norm2,Linear SVM,0.43333333333333335,0.506896551724138,0.35,0.4714285714285714,"[[218, 217], [212, 223]]","[[32, 38], [36, 34]]"
F_mean_3d_Fz,beta,norm2,Random Forest,0.8666666666666667,0.5977011494252874,0.65,0.5428571428571428,"[[240, 195], [155, 280]]","[[28, 42], [22, 48]]"
F_mean_3d_Fz,beta,norm2,XGBoost,0.6333333333333333,0.5655172413793104,0.5,0.5071428571428571,"[[202, 233], [145, 290]]","[[21, 49], [20, 50]]"
F_mean_3d_Fz,beta,norm2,Ensemble (Majority Vote),0.8666666666666667,0.6298850574712643,0.5,0.5071428571428571,"[[297, 138], [184, 251]]","[[32, 38], [31, 39]]"
F_mean_3d_Fz,beta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,beta,norm3,KNN,0.9666666666666667,0.6988505747126437,0.5,0.4785714285714286,"[[296, 139], [123, 312]]","[[30, 40], [33, 37]]"
