특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d_Fz,alpha,None,Linear SVM,0.5,0.5166,0.9,0.8143
F_peak_3d_10rm,beta,None,Logistic Regression,0.6,0.5821,0.8,0.8
F_peak_3d_Fz,alpha,None,Logistic Regression,0.5067,0.5177,0.9,0.8
F_de_3d_Fz,alpha,None,Logistic Regression,0.5067,0.5182,0.9,0.7714
F_peak_3d_3area,alpha,None,Logistic Regression,0.56,0.5439,0.9,0.7714
F_peak_3d_8rm,beta,None,Linear SVM,0.6267,0.5952,0.9,0.7714
F_peak_3d_8rm,beta,None,Logistic Regression,0.5533,0.5634,0.9,0.7714
F_median_3d_F7,theta,None,Logistic Regression,0.5467,0.529,0.9,0.7714
F_peak_3d_T7,gamma,None,Logistic Regression,0.52,0.5251,0.9,0.7714
F_de_3d_3area,alpha,None,Logistic Regression,0.5333,0.5386,0.9,0.7571
F_peak_3d_Fp2,gamma,None,Logistic Regression,0.5267,0.5322,0.8,0.7571
F_mean_3d_Cz,alpha,None,Linear SVM,0.5533,0.5278,0.8,0.7571
F_peak_3d_T7,gamma,None,Linear SVM,0.52,0.5244,0.8,0.7571
F_de_3d_Fz,alpha,None,Linear SVM,0.5,0.5168,0.9,0.7571
F_de_3d_Cz,beta,None,Linear SVM,0.52,0.509,0.9,0.7571
F_median_3d_F7,theta,None,Linear SVM,0.54,0.5276,0.8,0.7571
F_de_3d_Cz,beta,None,Logistic Regression,0.52,0.5103,0.9,0.7571
F_median_3d19,beta,norm2,Random Forest,0.8267,0.6752,0.9,0.7429
F_de_3d19,beta,norm3,XGBoost,0.9,0.7733,1.0,0.7429
F_median_3d_1area,alpha,None,Linear SVM,0.5133,0.5257,0.8,0.7429
F_median_3d_Cz,theta,None,Logistic Regression,0.5533,0.5398,0.8,0.7429
F_median_3d_Cz,theta,None,Linear SVM,0.5533,0.5391,0.8,0.7429
F_mean_3d_Cz,alpha,None,Logistic Regression,0.54,0.5294,0.7,0.7429
F_de_3d_3area,alpha,None,Ensemble (Majority Vote),0.7333,0.6501,0.7,0.7429
F_peak_3d_Fp2,gamma,None,Linear SVM,0.5267,0.5299,0.8,0.7429
F_peak_3d_8rm,beta,norm3,Linear SVM,0.58,0.5733,0.8,0.7429
