특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5333333333333333,0.49885057471264366,1.0,0.8571428571428571,"[[243, 192], [244, 191]]","[[7, 0], [2, 5]]"
F_mean_3d_Fz,delta,None,KNN,1.0,0.6862068965517242,1.0,0.5714285714285714,"[[297, 138], [135, 300]]","[[4, 3], [3, 4]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.5333333333333333,0.49885057471264366,1.0,0.8571428571428571,"[[243, 192], [244, 191]]","[[7, 0], [2, 5]]"
F_mean_3d_Fz,delta,None,Random Forest,0.5666666666666667,0.5850574712643678,0.5,0.42857142857142855,"[[352, 83], [278, 157]]","[[6, 1], [7, 0]]"
F_mean_3d_Fz,delta,None,XGBoost,0.6,0.5850574712643678,0.5,0.42857142857142855,"[[342, 93], [268, 167]]","[[6, 1], [7, 0]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7333333333333333,0.6413793103448275,0.5,0.7142857142857143,"[[331, 104], [208, 227]]","[[7, 0], [4, 3]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[7, 0], [7, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,1.0,0.6896551724137931,0.0,0.35714285714285715,"[[294, 141], [129, 306]]","[[3, 4], [5, 2]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.4896551724137931,0.5,0.42857142857142855,"[[55, 380], [64, 371]]","[[1, 6], [2, 5]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.8333333333333334,0.5793103448275863,0.5,0.6428571428571429,"[[266, 169], [197, 238]]","[[6, 1], [4, 3]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.6333333333333333,0.5597701149425287,0.5,0.6428571428571429,"[[276, 159], [224, 211]]","[[6, 1], [4, 3]]"
