특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d,all,None,Ensemble (Majority Vote),1.0,0.9485,0.9,0.8
F_peak_3d,all,None,Logistic Regression,0.9733,0.8568,0.8,0.8
F_peak_3d_10rm,theta,norm3,Linear SVM,0.7267,0.6347,0.8,0.7857
F_mean_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7867,0.6653,0.7,0.7857
F_peak_3d,all,norm3,XGBoost,1.0,0.9954,0.9,0.7857
F_mean_3d_Fz,all,norm3,Logistic Regression,0.6,0.5706,0.9,0.7857
F_mean_3d_Fz,all,norm3,Linear SVM,0.6067,0.5731,0.9,0.7857
F_peak_3d,all,norm3,Linear SVM,1.0,0.8729,0.9,0.7857
F_de_3d_Fz,all,None,Linear SVM,0.6,0.5805,0.9,0.7857
F_mean_3d19,delta,norm3,Random Forest,0.9133,0.772,0.9,0.7714
F_peak_3d,all,norm3,Ensemble (Majority Vote),1.0,0.9589,0.8,0.7714
F_peak_3d,gamma,norm3,XGBoost,0.9867,0.8354,0.9,0.7714
F_peak_3d_Fz,all,norm3,Ensemble (Majority Vote),0.78,0.6777,0.9,0.7714
F_mean_3d_Fz,all,norm3,Random Forest,0.7733,0.6632,0.9,0.7714
F_mean_3d19,all,norm3,Linear SVM,0.9933,0.8648,0.9,0.7714
F_peak_3d_10rm,theta,norm3,Logistic Regression,0.74,0.6363,0.8,0.7714
F_de_3d_Fz,all,None,Logistic Regression,0.6133,0.5768,0.9,0.7714
F_peak_3d_Fz,all,norm3,Logistic Regression,0.6667,0.6028,0.8,0.7571
F_de_3d_T7,all,norm3,Random Forest,0.7667,0.6809,0.9,0.7571
F_peak_3d,all,norm3,Logistic Regression,0.9933,0.8667,0.9,0.7571
F_median_3d_Fz,all,None,XGBoost,0.84,0.7016,0.9,0.7571
F_peak_3d,all,None,Linear SVM,1.0,0.8795,0.9,0.7571
F_peak_3d_Fz,all,norm3,Linear SVM,0.66,0.6016,0.8,0.7571
F_de_3d_Fz,all,norm3,Linear SVM,0.6133,0.5839,0.8,0.7571
F_de_3d_Fz,all,norm3,Logistic Regression,0.6333,0.5841,0.8,0.7571
F_dasm_3d_10rm,all,None,XGBoost,1.0,0.9062,0.8,0.7429
F_de_3d_8rm,all,None,KNN,1.0,0.9568,0.8,0.7429
F_dasm_3d19,theta,None,Linear SVM,0.6267,0.5989,0.8,0.7429
F_mean_3d_Fz,all,norm3,XGBoost,0.8733,0.6814,0.7,0.7429
F_peak_3d_10rm,all,None,Random Forest,0.9467,0.8437,0.8,0.7429
F_peak_3d_8rm,all,None,Linear SVM,0.9533,0.8103,0.8,0.7429
F_peak_3d_8rm,theta,norm3,Linear SVM,0.6733,0.6087,0.8,0.7429
F_peak_3d_8rm,theta,norm3,Logistic Regression,0.6933,0.6087,0.8,0.7429
F_de_3d_10rm,all,None,KNN,1.0,0.9644,0.9,0.7429
F_mean_3d19,delta,norm3,Ensemble (Majority Vote),0.9467,0.8154,0.9,0.7286
F_median_3d,alpha,None,Linear SVM,0.7933,0.6749,0.8,0.7286
F_peak_3d,all,None,XGBoost,1.0,0.9947,0.8,0.7286
F_peak_3d_Fz,all,None,Logistic Regression,0.6467,0.6037,0.9,0.7286
F_peak_3d_Fz,all,None,Linear SVM,0.6133,0.6076,0.8,0.7286
F_dasm_3d19,theta,None,Logistic Regression,0.6333,0.5982,0.8,0.7286
F_peak_3d_10rm,all,None,Linear SVM,0.9933,0.8464,0.8,0.7286
F_de_3d_8rm,delta,None,XGBoost,0.96,0.7936,0.8,0.7286
F_de_3d19,beta,norm3,Random Forest,0.8867,0.768,0.9,0.7286
F_mean_3d19,delta,norm3,Linear SVM,0.8133,0.6743,0.9,0.7286
F_de_3d_Fz,all,norm3,XGBoost,0.8333,0.7051,0.9,0.7286
F_peak_3d_10rm,beta,norm3,Logistic Regression,0.7133,0.6579,0.8,0.7286
F_de_3d_T7,all,norm3,Ensemble (Majority Vote),0.76,0.6885,0.8,0.7286
F_mean_3d19,delta,norm3,XGBoost,0.9933,0.8839,0.8,0.7286
F_de_3d19,beta,None,Linear SVM,0.8067,0.6913,0.8,0.7286
F_median_3d_Fz,all,norm3,Linear SVM,0.6267,0.5733,0.7,0.7286
F_median_3d_Fz,all,norm3,Logistic Regression,0.6267,0.5747,0.7,0.7286
F_peak_3d_8rm,all,None,Logistic Regression,0.9267,0.7945,0.8,0.7286
F_dasm_3d_10rm,gamma,None,XGBoost,0.88,0.6931,0.7,0.7286
F_peak_3d_8rm,all,norm3,KNN,1.0,0.9731,0.8,0.7143
F_median_3d,alpha,None,Logistic Regression,0.78,0.6708,0.8,0.7143
F_median_3d19,all,norm3,Linear SVM,0.9867,0.8766,0.8,0.7143
F_median_3d_10rm,alpha,None,Logistic Regression,0.7067,0.6382,0.7,0.7143
F_median_3d,all,None,Ensemble (Majority Vote),1.0,0.9267,0.8,0.7143
F_peak_3d,all,None,Random Forest,0.94,0.8515,0.8,0.7143
F_peak_3d_3area,beta,norm3,Linear SVM,0.58,0.5703,0.9,0.7143
F_de_3d,all,norm3,Linear SVM,1.0,0.8554,0.7,0.7143
F_dasm_3d19,theta,None,Ensemble (Majority Vote),0.86,0.7207,0.7,0.7143
F_peak_3d19,theta,norm3,Random Forest,0.9133,0.7736,0.7,0.7143
F_de_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7667,0.6736,0.8,0.7143
F_peak_3d_10rm,all,norm3,Linear SVM,0.9933,0.8437,0.7,0.7143
F_de_3d_Fz,all,norm3,Random Forest,0.7333,0.6653,0.9,0.7143
F_mean_3d_2area,beta,norm3,XGBoost,0.7,0.5989,0.8,0.7143
F_dasm_3d_10rm,gamma,None,Ensemble (Majority Vote),0.7733,0.6621,0.8,0.7143
F_mean_3d_10rm,beta,None,Ensemble (Majority Vote),0.9,0.7561,0.7,0.7143
