특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.6333333333333333,0.5689655172413793,0.5,0.4857142857142857,"[[265, 170], [205, 230]]","[[48, 22], [50, 20]]"
F_mean_3d_Fz,delta,None,KNN,0.9666666666666667,0.7298850574712644,0.55,0.5428571428571428,"[[316, 119], [116, 319]]","[[37, 33], [31, 39]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.6333333333333333,0.5689655172413793,0.5,0.4857142857142857,"[[265, 170], [205, 230]]","[[48, 22], [50, 20]]"
F_mean_3d_Fz,delta,None,Random Forest,0.7666666666666667,0.6160919540229886,0.5,0.5285714285714286,"[[208, 227], [107, 328]]","[[33, 37], [29, 41]]"
F_mean_3d_Fz,delta,None,XGBoost,0.8,0.6126436781609196,0.55,0.5714285714285714,"[[252, 183], [154, 281]]","[[42, 28], [32, 38]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7333333333333333,0.6229885057471264,0.45,0.5214285714285715,"[[260, 175], [153, 282]]","[[40, 30], [37, 33]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,0.9666666666666667,0.6862068965517242,0.6,0.4785714285714286,"[[288, 147], [126, 309]]","[[37, 33], [40, 30]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.43333333333333335,0.5045977011494253,0.55,0.5357142857142857,"[[195, 240], [191, 244]]","[[33, 37], [28, 42]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.8666666666666667,0.593103448275862,0.65,0.5642857142857143,"[[260, 175], [179, 256]]","[[43, 27], [34, 36]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.5,0.5540229885057472,0.55,0.5785714285714286,"[[339, 96], [292, 143]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.5333333333333333,0.5689655172413793,0.55,0.5857142857142857,"[[347, 88], [287, 148]]","[[58, 12], [46, 24]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,0.9666666666666667,0.6862068965517242,0.6,0.4785714285714286,"[[288, 147], [126, 309]]","[[37, 33], [40, 30]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.43333333333333335,0.5045977011494253,0.55,0.5357142857142857,"[[195, 240], [191, 244]]","[[33, 37], [28, 42]]"
F_mean_3d_Fz,delta,norm3,Random Forest,0.8666666666666667,0.593103448275862,0.65,0.5642857142857143,"[[260, 175], [179, 256]]","[[43, 27], [34, 36]]"
F_mean_3d_Fz,delta,norm3,XGBoost,0.5,0.5540229885057472,0.55,0.5785714285714286,"[[339, 96], [292, 143]]","[[59, 11], [48, 22]]"
F_mean_3d_Fz,delta,norm3,Ensemble (Majority Vote),0.5333333333333333,0.5689655172413793,0.55,0.5857142857142857,"[[347, 88], [287, 148]]","[[58, 12], [46, 24]]"
F_mean_3d_Fz,theta,None,Logistic Regression,0.6333333333333333,0.5862068965517241,0.45,0.4642857142857143,"[[267, 168], [192, 243]]","[[56, 14], [61, 9]]"
