특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5,0.5241379310344828,0.4,0.44285714285714284,"[[232, 203], [211, 224]]","[[14, 56], [22, 48]]"
F_mean_3d_Fz,delta,None,KNN,0.9666666666666667,0.6793103448275862,0.6,0.5642857142857143,"[[294, 141], [138, 297]]","[[38, 32], [29, 41]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.5,0.5241379310344828,0.4,0.44285714285714284,"[[232, 203], [211, 224]]","[[14, 56], [22, 48]]"
F_mean_3d_Fz,delta,None,Random Forest,0.6,0.5609195402298851,0.55,0.4857142857142857,"[[278, 157], [225, 210]]","[[33, 37], [35, 35]]"
F_mean_3d_Fz,delta,None,XGBoost,0.5,0.5310344827586206,0.5,0.4785714285714286,"[[79, 356], [52, 383]]","[[0, 70], [3, 67]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.6666666666666666,0.5839080459770115,0.4,0.44285714285714284,"[[237, 198], [164, 271]]","[[14, 56], [22, 48]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,1.0,0.6954022988505747,0.35,0.45714285714285713,"[[292, 143], [122, 313]]","[[28, 42], [34, 36]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.5183908045977011,0.6,0.5285714285714286,"[[249, 186], [233, 202]]","[[40, 30], [36, 34]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.7666666666666667,0.5873563218390805,0.45,0.4857142857142857,"[[283, 152], [207, 228]]","[[37, 33], [39, 31]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.7333333333333333,0.5850574712643678,0.45,0.4714285714285714,"[[279, 156], [205, 230]]","[[36, 34], [40, 30]]"
