특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_de_3d_Fp1,alpha,None,Linear SVM,0.4733,0.5216,0.57,0.5557
F_de_3d_Fp2,all,None,Linear SVM,0.6333,0.5805,0.57,0.5543
F_de_3d_F3,alpha,None,Logistic Regression,0.5133,0.523,0.59,0.5543
F_peak_3d_2area,delta,norm3,Ensemble (Majority Vote),0.7267,0.6386,0.55,0.5543
F_median_3d19,alpha,None,Random Forest,0.7933,0.6798,0.55,0.5543
F_rasm_3d,all,norm3,Linear SVM,0.6333,0.5717,0.6,0.5543
F_median_3d_F3,delta,None,Linear SVM,0.5133,0.514,0.55,0.5543
F_rasm_3d_8rm,gamma,None,Linear SVM,0.52,0.5172,0.57,0.5543
F_dasm_3d19,alpha,norm3,Ensemble (Majority Vote),0.8667,0.7485,0.55,0.5529
F_de_3d,alpha,None,Linear SVM,0.6667,0.6113,0.58,0.5529
F_de_3d_8rm,alpha,norm3,Random Forest,0.7933,0.6724,0.59,0.5529
F_dasm_3d_3area,alpha,None,Logistic Regression,0.5133,0.5113,0.57,0.5529
F_de_3d19,alpha,norm3,Ensemble (Majority Vote),0.92,0.7582,0.61,0.5529
F_dasm_3d_8rm,theta,norm3,Random Forest,0.6867,0.6257,0.61,0.5529
F_rasm_3d,gamma,None,Logistic Regression,0.5467,0.5009,0.57,0.5529
F_de_3d_8rm,alpha,norm3,Logistic Regression,0.6,0.5809,0.56,0.5529
F_median_3d_2area,alpha,norm3,Ensemble (Majority Vote),0.76,0.6303,0.58,0.5529
F_median_3d_2area,beta,None,Linear SVM,0.5533,0.5326,0.56,0.5529
F_median_3d_F3,delta,None,Logistic Regression,0.5133,0.5143,0.55,0.5529
F_rasm_3d_8rm,gamma,None,Random Forest,0.8067,0.6485,0.6,0.5514
F_median_3d_8rm,theta,None,Linear SVM,0.6667,0.5871,0.56,0.5514
F_dasm_3d_10rm,alpha,norm3,Random Forest,0.7533,0.6522,0.59,0.5514
F_de_3d_F3,alpha,None,Linear SVM,0.5267,0.5216,0.58,0.5514
F_de_3d_2area,beta,None,Logistic Regression,0.56,0.5363,0.54,0.5514
F_mean_3d_Cz,gamma,norm2,KNN,0.9533,0.6782,0.65,0.5514
F_mean_3d_Cz,gamma,norm3,KNN,0.9533,0.6782,0.65,0.5514
F_de_3d_2area,alpha,None,Logistic Regression,0.58,0.5538,0.55,0.5514
F_median_3d_Fz,gamma,None,Logistic Regression,0.5133,0.5216,0.54,0.5514
F_mean_3d_3area,alpha,None,Linear SVM,0.5467,0.5398,0.59,0.5514
F_dasm_3d,beta,norm3,XGBoost,0.92,0.7064,0.59,0.5514
F_median_3d_2area,delta,norm3,XGBoost,0.66,0.597,0.55,0.55
F_median_3d_10rm,alpha,None,Linear SVM,0.62,0.5952,0.53,0.55
F_peak_3d_Fp2,all,norm3,Linear SVM,0.6467,0.5786,0.53,0.55
F_peak_3d_Fp2,all,norm3,Logistic Regression,0.6333,0.5807,0.54,0.55
F_de_3d_Fp1,alpha,None,Logistic Regression,0.48,0.5228,0.57,0.55
F_rasm_3d_10rm,gamma,None,Linear SVM,0.5333,0.5232,0.55,0.55
F_de_3d_2area,beta,None,Linear SVM,0.56,0.5421,0.53,0.55
F_median_3d_Fz,gamma,None,Linear SVM,0.52,0.5211,0.54,0.55
F_mean_3d_2area,beta,norm3,Logistic Regression,0.5467,0.5228,0.57,0.55
F_median_3d,alpha,None,Logistic Regression,0.6533,0.6025,0.51,0.55
F_median_3d_8rm,theta,norm3,Random Forest,0.8067,0.6607,0.55,0.55
F_de_3d_2area,alpha,None,Linear SVM,0.58,0.5485,0.57,0.55
F_peak_3d_2area,delta,norm3,Linear SVM,0.58,0.5487,0.57,0.55
F_median_3d,alpha,norm3,Ensemble (Majority Vote),0.86,0.7092,0.56,0.55
F_rasm_3d_10rm,theta,None,XGBoost,0.9,0.666,0.57,0.55
F_peak_3d_2area,beta,None,Logistic Regression,0.56,0.5409,0.55,0.55
F_dasm_3d19,alpha,norm3,Random Forest,0.84,0.7384,0.58,0.5486
F_median_3d_Fz,all,norm2,Random Forest,0.9467,0.6816,0.53,0.5486
F_mean_3d_10rm,alpha,None,Logistic Regression,0.5867,0.5766,0.55,0.5486
F_rasm_3d_8rm,delta,None,Logistic Regression,0.4867,0.4961,0.56,0.5486
F_peak_3d_C3,gamma,norm2,Random Forest,0.8667,0.5855,0.57,0.5486
F_de_3d_8rm,alpha,norm3,Linear SVM,0.6267,0.589,0.55,0.5486
F_median_3d_10rm,alpha,norm3,Random Forest,0.8067,0.6717,0.56,0.5486
F_peak_3d_3area,beta,None,Ensemble (Majority Vote),0.7067,0.6497,0.54,0.5486
F_de_3d_T7,gamma,norm2,KNN,0.9733,0.6862,0.58,0.5486
F_median_3d_Fp2,theta,norm2,Ensemble (Majority Vote),0.7933,0.6129,0.62,0.5486
F_peak_3d_C3,gamma,norm3,Random Forest,0.8667,0.5855,0.57,0.5486
F_median_3d_Fp2,theta,norm3,Ensemble (Majority Vote),0.7933,0.6129,0.62,0.5486
F_peak_3d_2area,beta,None,Linear SVM,0.5467,0.549,0.56,0.5486
F_peak_3d_2area,delta,norm3,Logistic Regression,0.58,0.5526,0.56,0.5486
F_median_3d_T8,all,norm2,KNN,0.98,0.6887,0.62,0.5486
F_de_3d_T7,gamma,norm3,KNN,0.9733,0.6862,0.58,0.5486
F_rasm_3d,all,norm3,Logistic Regression,0.6333,0.5662,0.56,0.5471
F_peak_3d_3area,alpha,None,Logistic Regression,0.56,0.5439,0.57,0.5471
F_median_3d_8rm,alpha,norm3,XGBoost,0.8067,0.6766,0.53,0.5471
F_de_3d_C4,all,norm2,KNN,0.9733,0.694,0.63,0.5471
F_median_3d_C3,alpha,norm2,KNN,1.0,0.6897,0.6,0.5471
F_median_3d_8rm,theta,None,Logistic Regression,0.62,0.5752,0.56,0.5471
F_median_3d_8rm,theta,norm3,XGBoost,0.86,0.6853,0.54,0.5471
F_de_3d_2area,delta,norm3,Random Forest,0.7933,0.6248,0.51,0.5471
F_mean_3d_T7,all,norm2,KNN,0.98,0.6926,0.61,0.5471
F_median_3d_Fz,all,norm2,XGBoost,0.92,0.6616,0.57,0.5471
F_dasm_3d_10rm,alpha,norm3,Ensemble (Majority Vote),0.7733,0.6616,0.59,0.5471
F_median_3d_C3,all,norm2,Random Forest,0.9533,0.6761,0.57,0.5471
F_median_3d_C3,alpha,norm3,KNN,1.0,0.6897,0.6,0.5471
F_peak_3d_Fp2,all,norm3,XGBoost,0.88,0.6961,0.53,0.5471
F_de_3d_C3,theta,norm2,KNN,0.9867,0.6811,0.6,0.5457
F_rasm_3d_10rm,gamma,None,Logistic Regression,0.54,0.5021,0.58,0.5457
F_de_3d_1area,alpha,None,Logistic Regression,0.4933,0.5225,0.54,0.5457
F_median_3d_2area,delta,None,Linear SVM,0.5933,0.551,0.53,0.5457
F_de_3d_F8,theta,norm2,Random Forest,0.7267,0.5876,0.55,0.5457
F_de_3d_2area,delta,norm3,Logistic Regression,0.56,0.5393,0.55,0.5457
F_de_3d_F8,theta,norm3,Random Forest,0.7267,0.5876,0.55,0.5457
